date,campaign_id,campaign_name,ad_group_id,ad_group_name,impressions,clicks,cost,conversions,video_views,engagement_rate,reach,frequency,ctr,cpc,conversion_rate,view_rate,channel,data_source
2024-01-02,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,48863,947,132,12,8971,0.0195,39487,1.24,0.0194,0.14,0.0136,0.1836,Paid Social,Facebook Ads
2024-01-02,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,12725,570,216,35,1310,0.0437,10556,1.21,0.0448,0.38,0.0622,0.103,Paid Social,Facebook Ads
2024-01-02,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,32335,1186,189,21,4420,0.0345,25940,1.25,0.0367,0.16,0.0181,0.1367,Paid Social,Facebook Ads
2024-01-03,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,41109,789,110,9,7946,0.0187,36657,1.12,0.0192,0.14,0.0125,0.1933,Paid Social,Facebook Ads
2024-01-03,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13800,616,227,36,1411,0.0471,10922,1.26,0.0447,0.37,0.0591,0.1023,Paid Social,Facebook Ads
2024-01-03,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,38774,1450,217,27,5021,0.0377,33554,1.16,0.0374,0.15,0.019,0.1295,Paid Social,Facebook Ads
2024-01-04,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,51276,1046,146,14,9809,0.0198,45217,1.13,0.0204,0.14,0.0138,0.1913,Paid Social,Facebook Ads
2024-01-04,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,11338,487,194,31,1134,0.0428,9876,1.15,0.043,0.4,0.0639,0.1001,Paid Social,Facebook Ads
2024-01-04,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,37903,1440,216,28,5025,0.0364,33876,1.12,0.038,0.15,0.0195,0.1326,Paid Social,Facebook Ads
2024-01-05,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,54229,1084,151,15,9305,0.0193,45526,1.19,0.02,0.14,0.0145,0.1716,Paid Social,Facebook Ads
2024-01-05,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,14230,678,237,42,1481,0.0461,11531,1.23,0.0477,0.35,0.0628,0.1041,Paid Social,Facebook Ads
2024-01-05,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,69369,228,88,4,47524,0.0035,62850,1.1,0.0033,0.39,0.021,0.6851,Paid Social,Facebook Ads
