date,campaign_id,campaign_name,ad_group_id,ad_group_name,impressions,clicks,cost,conversions,conversion_value,ctr,cpc,quality_score,search_impression_share,conversion_rate,channel,data_source
2024-01-02,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,21634,1153,219,42,2250.0,0.0533,0.19,9,0.92,0.0371,Paid Search,Bing Ads
2024-01-02,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,43874,837,535,22,1150.0,0.0191,0.64,7,0.45,0.0264,Paid Search,Google Ads
2024-01-02,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,67715,2302,414,65,3350.0,0.034,0.18,8,0.67,0.0285,Paid Search,Google Ads
2024-01-03,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,24129,1295,246,47,2400.0,0.0537,0.19,9,0.91,0.0364,Organic,Google Ads
2024-01-03,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,40341,774,503,19,1050.0,0.0192,0.65,7,0.44,0.0255,Organic,Google Ads
2024-01-03,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,71694,2430,437,73,3550.0,0.0339,0.18,8,0.68,0.0303,Paid Search,Google Ads
2024-01-04,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,23711,1214,218,47,2100.0,0.0512,0.18,9,0.93,0.0391,Paid Search,Google Ads
2024-01-04,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,49677,993,625,24,1250.0,0.02,0.63,6,0.43,0.0251,Paid Search,Google Ads
2024-01-04,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,129108,477,128,12,600.0,0.0037,0.27,7,0.35,0.0255,Paid Search,Google Ads
2024-01-05,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,25711,1331,252,49,2500.0,0.0518,0.19,9,0.92,0.0374,Paid Search,Google Ads
2024-01-05,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,65404,2066,371,60,3250.0,0.0316,0.18,8,0.66,0.0294,Organic,Google Ads
2024-01-05,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,134815,498,134,14,700.0,0.0037,0.27,7,0.36,0.0293,Paid Search,Google Ads
2024-01-06,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,23552,1236,234,45,2300.0,0.0525,0.19,9,0.91,0.037,Paid Search,Google Ads
2024-01-06,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,43565,871,557,21,1200.0,0.02,0.64,7,0.45,0.0252,Paid Search,Google Ads
2024-01-06,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,129752,454,127,12,650.0,0.0035,0.28,7,0.34,0.0269,Paid Search,Google Ads
2024-01-07,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,25384,1317,250,49,2350.0,0.0519,0.19,9,0.92,0.0379,Paid Search,Google Ads
2024-01-07,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,77358,2614,470,74,3450.0,0.0338,0.18,8,0.67,0.0286,Paid Search,Bing Ads
2024-01-07,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,139941,517,144,13,650.0,0.0037,0.28,7,0.35,0.027,Organic,Bing Ads
2024-01-08,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,27752,1498,284,54,2700.0,0.054,0.19,9,0.93,0.0367,Paid Search,Google Ads
2024-01-08,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,43323,870,556,22,1100.0,0.0201,0.64,6,0.44,0.0255,Paid Search,Google Ads
2024-01-08,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,66393,2144,385,64,3300.0,0.0323,0.18,8,0.66,0.0301,Paid Search,Google Ads
2024-01-09,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,21674,1111,211,43,2150.0,0.0513,0.19,9,0.91,0.0392,Paid Search,Google Ads
2024-01-09,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,45913,913,593,23,1300.0,0.0199,0.65,7,0.46,0.0261,Paid Search,Bing Ads
2024-01-09,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,129949,454,127,11,550.0,0.0035,0.28,7,0.34,0.0255,Paid Search,Bing Ads
2024-01-10,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,23329,1231,233,45,2450.0,0.0528,0.19,9,0.92,0.0369,Organic,Google Ads
2024-01-10,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,77062,2589,466,74,3500.0,0.0336,0.18,8,0.68,0.0286,Paid Search,Google Ads
2024-01-10,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,125318,438,122,11,600.0,0.0035,0.28,7,0.35,0.0262,Paid Search,Google Ads
