date,campaign_id,campaign_name,ad_group_id,ad_group_name,impressions,clicks,cost,conversions,video_views,video_watch_25,video_watch_50,video_watch_75,video_watch_100,likes,shares,comments,ctr,cpc,conversion_rate,view_rate,channel,data_source
2024-01-02,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,240884,3516,457,33,193478,156234,98234,67234,45234,8923,2345,567,0.0146,0.13,0.0096,0.8032,Paid Social,TikTok Ads
2024-01-02,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,129384,2535,735,71,88925,67234,45234,34234,23456,4567,1234,234,0.0196,0.29,0.0281,0.6873,Paid Social,TikTok Ads
2024-01-02,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,197347,3098,371,24,159476,112345,89234,56789,34567,6789,1890,456,0.0157,0.12,0.008,0.8081,Paid Social,TikTok Ads
2024-01-03,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,255959,3737,485,37,219433,163456,102345,70234,47234,9234,2456,589,0.0146,0.13,0.01,0.8573,Paid Social,TikTok Ads
2024-01-03,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,143338,2723,735,74,106772,71234,48234,36234,24567,4789,1345,245,0.019,0.27,0.0272,0.7449,Paid Social,TikTok Ads
2024-01-03,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,182890,2798,335,22,141117,117234,93234,59234,36234,7123,1967,478,0.0153,0.12,0.0082,0.7716,Paid Social,TikTok Ads
2024-01-04,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,232131,3389,440,34,192529,148234,93234,63456,43234,8567,2234,534,0.0146,0.13,0.0101,0.8294,Paid Social,TikTok Ads
2024-01-04,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,114213,2170,629,63,80817,61234,41234,31234,21234,4234,1123,212,0.019,0.29,0.0294,0.7076,Paid Social,TikTok Ads
2024-01-04,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,355138,5682,852,92,308082,234567,189234,134567,89234,15678,4567,1234,0.016,0.15,0.0163,0.8675,Paid Social,TikTok Ads
2024-01-05,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,237582,3635,472,38,194294,170234,107234,72456,48456,9567,2567,612,0.0153,0.13,0.0105,0.8178,Paid Social,TikTok Ads
